Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Zadarska;Zadar;Sveti Filip i Jakov;4.606;2.264;2.342;764;3.842;764;1.366;311;2.161;4;764;1.452;2.016;365;9;4.461;2.179;2.282;658;3.803
Zadarska;Zadar;Škabrnja;1.776;884;892;370;1.406;370;540;105;761;-;370;588;738;79;1;1.661;847;814;265;1.396
Zadarska;Zadar;Tkon;763;387;376;126;637;126;217;36;384;-;126;253;322;62;-;748;367;381;124;624
Zadarska;Zadar;Vir;3.000;1.516;1.484;362;2.638;362;756;175;1.703;4;362;816;1.535;285;2;3.045;1.476;1.569;328;2.717
Zadarska;Zadar;Vrsi;2.053;1.027;1.026;306;1.747;306;567;140;1.040;-;306;744;862;140;1;2.045;995;1.050;249;1.796
Zadarska;Zadar;Zadar;75.062;35.733;39.329;11.965;63.097;11.965;26.665;5.499;30.911;22;11.965;13.683;35.103;14.244;67;70.779;33.513;37.266;11.210;59.569
Zadarska;Zadar;Zemunik Donji;2.060;994;1.066;277;1.783;277;610;137;1.036;-;277;711;955;117;-;2.159;1.071;1.088;327;1.832
Osječko-baranjska;Osijek-Baranja;Antunovac;3.703;1.802;1.901;668;3.035;668;1.215;272;1.548;-;668;1.224;1.609;200;2;3.411;1.685;1.726;546;2.865
Osječko-baranjska;Osijek-Baranja;Beli Manastir;10.068;4.712;5.356;1.436;8.632;1.436;2.965;1.303;4.363;1;1.436;2.886;4.661;1.075;10;7.973;3.733;4.240;994;6.979
Osječko-baranjska;Osijek-Baranja;Belišće;10.825;5.286;5.539;1.704;9.121;1.704;3.178;1.079;4.864;-;1.704;3.516;4.709;895;1;8.884;4.310;4.574;1.233;7.651
Osječko-baranjska;Osijek-Baranja;Bilje;5.642;2.803;2.839;936;4.706;936;1.956;455;2.294;1;936;1.841;2.381;484;-;4.772;2.382;2.390;642;4.130
Osječko-baranjska;Osijek-Baranja;Bizovac;4.507;2.194;2.313;660;3.847;660;1.370;417;2.060;-;660;1.641;1.946;257;3;3.733;1.850;1.883;476;3.257
Osječko-baranjska;Osijek-Baranja;Čeminac;2.909;1.432;1.477;437;2.472;437;875;196;1.401;-;437;1.135;1.231;106;-;2.484;1.246;1.238;328;2.156
Osječko-baranjska;Osijek-Baranja;Čepin;11.599;5.636;5.963;1.789;9.810;1.789;3.735;878;5.195;2;1.789;3.625;5.383;801;1;9.665;4.659;5.006;1.324;8.341
Osječko-baranjska;Osijek-Baranja;Darda;6.908;3.353;3.555;1.149;5.759;1.149;1.912;937;2.909;1;1.149;2.405;2.941;406;7;5.427;2.636;2.791;773;4.654
Osječko-baranjska;Osijek-Baranja;Donja Motičina;1.652;801;851;287;1.365;287;434;150;781;-;287;679;641;44;1;1.334;662;672;190;1.144
Osječko-baranjska;Osijek-Baranja;Donji Miholjac;9.491;4.642;4.849;1.336;8.155;1.336;3.064;946;4.145;-;1.336;3.164;4.100;888;3;8.031;3.965;4.066;1.156;6.875
Osječko-baranjska;Osijek-Baranja;Draž;2.767;1.337;1.430;326;2.441;326;722;261;1.458;-;326;1.313;993;135;-;1.949;959;990;192;1.757
Osječko-baranjska;Osijek-Baranja;Drenje;2.700;1.336;1.364;504;2.196;504;539;209;1.448;-;504;1.377;761;58;-;2.126;1.081;1.045;312;1.814
Osječko-baranjska;Osijek-Baranja;Đakovo;27.745;13.598;14.147;4.739;23.006;4.739;8.065;2.079;12.857;5;4.739;8.190;12.223;2.574;19;23.577;11.440;12.137;3.332;20.245
Osječko-baranjska;Osijek-Baranja;Đurđenovac;6.750;3.417;3.333;1.045;5.705;1.045;1.755;573;3.377;-;1.045;2.560;2.782;362;1;5.332;2.678;2.654;667;4.665
Osječko-baranjska;Osijek-Baranja;Erdut;7.308;3.534;3.774;947;6.361;947;1.945;702;3.714;-;947;2.876;3.087;397;1;5.436;2.616;2.820;575;4.861
Osječko-baranjska;Osijek-Baranja;Ernestinovo;2.189;1.033;1.156;358;1.831;358;665;164;1.001;1;358;740;986;105;-;1.948;919;1.029;289;1.659
Osječko-baranjska;Osijek-Baranja;Feričanci;2.134;1.064;1.070;309;1.825;309;571;143;1.111;-;309;754;948;123;-;1.725;831;894;241;1.484
Osječko-baranjska;Osijek-Baranja;Gorjani;1.591;789;802;244;1.347;244;376;144;827;-;244;725;569;53;-;1.246;611;635;162;1.084
Osječko-baranjska;Osijek-Baranja;Jagodnjak;2.023;962;1.061;333;1.690;333;392;235;1.063;-;333;987;651;52;-;1.500;730;770;216;1.284
Osječko-baranjska;Osijek-Baranja;Kneževi Vinogradi;4.614;2.239;2.375;656;3.958;656;1.298;419;2.239;2;656;1.975;1.724;256;3;3.357;1.639;1.718;422;2.935
Osječko-baranjska;Osijek-Baranja;Koška;3.980;1.974;2.006;691;3.289;691;1.031;334;1.924;-;691;1.613;1.537;139;-;3.169;1.579;1.590;465;2.704
Osječko-baranjska;Osijek-Baranja;Levanjska Varoš;1.194;596;598;187;1.007;187;165;96;746;-;187;664;315;27;1;767;379;388;84;683
Osječko-baranjska;Osijek-Baranja;Magadenovac;1.936;961;975;290;1.646;290;479;217;950;-;290;950;635;61;-;1.579;802;777;214;1.365
Osječko-baranjska;Osijek-Baranja;Marijanci;2.405;1.238;1.167;385;2.020;385;729;217;1.074;-;385;1.100;847;73;-;1.951;1.006;945;293;1.658
Osječko-baranjska;Osijek-Baranja;Našice;16.224;7.863;8.361;2.679;13.545;2.679;5.289;1.531;6.724;1;2.679;4.689;7.030;1.823;3;14.291;6.953;7.338;2.186;12.105
Osječko-baranjska;Osijek-Baranja;Osijek;108.048;50.357;57.691;15.326;92.722;15.326;38.786;8.206;45.695;35;15.326;22.730;50.654;19.264;74;96.313;44.960;51.353;12.873;83.440
Osječko-baranjska;Osijek-Baranja;Petlovac;2.405;1.207;1.198;377;2.028;377;648;234;1.146;-;377;1.090;848;88;2;1.874;947;927;268;1.606
Osječko-baranjska;Osijek-Baranja;Petrijevci;2.870;1.426;1.444;418;2.452;418;838;229;1.382;3;418;934;1.339;176;3;2.485;1.224;1.261;310;2.175
Osječko-baranjska;Osijek-Baranja;Podgorač;2.877;1.413;1.464;502;2.375;502;649;283;1.441;2;502;1.316;987;70;2;2.455;1.226;1.229;423;2.032
Osječko-baranjska;Osijek-Baranja;Podravska Moslavina;1.202;597;605;203;999;203;284;137;578;-;203;571;400;27;1;954;471;483;124;830
Osječko-baranjska;Osijek-Baranja;Popovac;2.084;1.017;1.067;298;1.786;298;479;271;1.035;1;298;964;759;63;-;1.446;688;758;159;1.287
Osječko-baranjska;Osijek-Baranja;Punitovci;1.803;928;875;335;1.468;335;506;161;801;-;335;788;623;57;-;1.562;779;783;241;1.321
Osječko-baranjska;Osijek-Baranja;Satnica Đakovačka;2.123;1.082;1.041;374;1.749;374;524;243;982;-;374;845;828;76;-;1.775;913;862;279;1.496
Osječko-baranjska;Osijek-Baranja;Semeljci;4.362;2.200;2.162;847;3.515;847;1.008;408;2.096;3;847;1.886;1.469;148;12;3.558;1.819;1.739;593;2.965
Osječko-baranjska;Osijek-Baranja;Strizivojna;2.525;1.271;1.254;518;2.007;518;687;232;1.088;-;518;1.051;869;87;-;2.027;1.021;1.006;332;1.695
Osječko-baranjska;Osijek-Baranja;Šodolovci;1.653;779;874;188;1.465;188;495;112;858;-;188;729;659;77;-;1.217;597;620;155;1.062
Osječko-baranjska;Osijek-Baranja;Trnava;1.600;803;797;267;1.333;267;333;114;886;-;267;802;477;54;-;1.251;638;613;198;1.053
Osječko-baranjska;Osijek-Baranja;Valpovo;11.563;5.697;5.866;1.821;9.742;1.821;3.596;1.080;5.066;-;1.821;3.394;5.226;1.118;4;9.784;4.732;5.052;1.378;8.406
Osječko-baranjska;Osijek-Baranja;Viljevo;2.065;1.025;1.040;324;1.741;324;458;274;1.009;-;324;1.041;645;55;-;1.626;818;808;214;1.412
Osječko-baranjska;Osijek-Baranja;Viškovci;1.906;953;953;397;1.509;397;449;119;941;-;397;777;686;46;-;1.496;744;752;190;1.306
Osječko-baranjska;Osijek-Baranja;Vladislavci;1.882;943;939;294;1.588;294;481;212;895;-;294;872;665;51;-;1.552;794;758;226;1.326
Osječko-baranjska;Osijek-Baranja;Vuka;1.200;591;609;222;978;222;354;91;533;-;222;485;466;27;-;984;479;505;141;843
Šibensko-kninska;Šibenik-Knin;Bilice;2.307;1.147;1.160;372;1.935;372;777;150;1.008;-;372;533;1.209;188;5;2.546;1.259;1.287;404;2.142
Šibensko-kninska;Šibenik-Knin;Biskupija;1.699;828;871;136;1.563;136;194;154;1.215;-;136;808;653;102;-;1.177;602;575;81;1.096
Šibensko-kninska;Šibenik-Knin;Civljane;239;119;120;11;228;11;14;10;204;-;11;186;40;2;-;171;86;85;16;155
Šibensko-kninska;Šibenik-Knin;Drniš;7.498;3.717;3.781;1.130;6.368;1.130;2.060;423;3.884;1;1.130;2.317;3.354;697;-;6.276;3.178;3.098;754;5.522
Šibensko-kninska;Šibenik-Knin;Ervenik;1.105;559;546;46;1.059;46;127;35;897;-;46;579;408;72;-;789;428;361;46;743
Šibensko-kninska;Šibenik-Knin;Kijevo;417;203;214;34;383;34;81;1;301;-;34;241;132;9;1;272;134;138;12;260
Šibensko-kninska;Šibenik-Knin;Kistanje;3.481;1.713;1.768;506;2.975;506;315;443;2.217;-;506;1.877;938;160;-;2.650;1.377;1.273;336;2.314
Šibensko-kninska;Šibenik-Knin;Knin;15.407;7.628;7.779;2.746;12.661;2.746;3.981;1.584;7.093;3;2.746;4.185;7.145;1.328;3;11.633;5.732;5.901;1.537;10.096
Šibensko-kninska;Šibenik-Knin;Murter-Kornati;2.044;1.018;1.026;301;1.743;301;596;86;1.061;-;301;506;998;239;-;1.934;959;975;261;1.673
Šibensko-kninska;Šibenik-Knin;Pirovac;1.930;977;953;243;1.687;243;484;112;1.091;-;243;515;921;182;69;1.606;821;785;166;1.440
Šibensko-kninska;Šibenik-Knin;Primošten;2.828;1.411;1.417;342;2.486;342;811;132;1.543;-;342;783;1.425;278;-;2.627;1.330;1.297;328;2.299
Šibensko-kninska;Šibenik-Knin;Promina;1.136;528;608;138;998;138;224;52;720;2;138;510;410;77;1;943;460;483;90;853
Šibensko-kninska;Šibenik-Knin;Rogoznica;2.345;1.178;1.167;239;2.106;239;575;114;1.417;-;239;774;1.085;247;-;2.106;1.074;1.032;219;1.887
Šibensko-kninska;Šibenik-Knin;Ružić;1.591;789;802;223;1.368;223;363;46;959;-;223;757;573;38;-;1.283;651;632;171;1.112
Šibensko-kninska;Šibenik-Knin;Skradin;3.825;1.920;1.905;485;3.340;485;811;258;2.271;-;485;1.784;1.411;145;-;3.349;1.758;1.591;336;3.013
Šibensko-kninska;Šibenik-Knin;Šibenik;46.332;22.408;23.924;6.387;39.945;6.387;16.100;2.966;20.873;6;6.387;10.224;22.655;7.060;6;42.599;20.502;22.097;5.667;36.932
Šibensko-kninska;Šibenik-Knin;Tisno;3.094;1.536;1.558;377;2.717;377;1.005;152;1.560;-;377;914;1.475;327;1;2.908;1.421;1.487;355;2.553
Šibensko-kninska;Šibenik-Knin;Tribunj;1.536;758;778;212;1.324;212;456;88;780;-;212;475;711;138;-;1.594;770;824;236;1.358
Šibensko-kninska;Šibenik-Knin;Unešić;1.686;790;896;176;1.510;176;400;55;1.055;-;176;947;491;71;1;1.269;642;627;117;1.152
Šibensko-kninska;Šibenik-Knin;Vodice;8.875;4.369;4.506;1.346;7.529;1.346;2.606;775;4.145;3;1.346;2.119;4.353;1.045;12;8.649;4.268;4.381;1.147;7.502
Vukovarsko-srijemska;Vukovar-Srijem;Andrijaševci;4.075;1.967;2.108;838;3.237;838;1.141;340;1.756;-;838;1.366;1.697;174;-;3.441;1.677;1.764;569;2.872
Vukovarsko-srijemska;Vukovar-Srijem;Babina Greda;3.572;1.780;1.792;716;2.856;716;1.007;324;1.525;-;716;1.691;1.078;86;1;2.762;1.389;1.373;460;2.302
Vukovarsko-srijemska;Vukovar-Srijem;Bogdanovci;1.960;943;1.017;291;1.669;291;563;210;895;1;291;879;708;82;-;1.545;755;790;199;1.346
Vukovarsko-srijemska;Vukovar-Srijem;Borovo;5.056;2.391;2.665;747;4.309;747;1.190;642;2.477;-;747;1.760;2.248;300;1;3.555;1.677;1.878;401;3.154
Vukovarsko-srijemska;Vukovar-Srijem;Bošnjaci;3.901;1.935;1.966;671;3.230;671;946;499;1.784;1;671;1.666;1.336;227;1;2.868;1.423;1.445;398;2.470
Vukovarsko-srijemska;Vukovar-Srijem;Cerna;4.595;2.311;2.284;915;3.680;915;1.168;467;2.045;-;915;1.723;1.790;167;-;3.712;1.873;1.839;587;3.125
Vukovarsko-srijemska;Vukovar-Srijem;Drenovci;5.174;2.592;2.582;857;4.317;857;1.150;645;2.517;5;857;2.572;1.585;153;7;3.662;1.818;1.844;472;3.190
Vukovarsko-srijemska;Vukovar-Srijem;Gradište;2.773;1.373;1.400;539;2.234;539;686;299;1.249;-;539;1.123;986;124;1;2.227;1.128;1.099;346;1.881
Vukovarsko-srijemska;Vukovar-Srijem;Gunja;3.732;1.764;1.968;570;3.162;570;735;524;1.903;-;570;1.650;1.349;160;3;2.600;1.212;1.388;295;2.305
Vukovarsko-srijemska;Vukovar-Srijem;Ilok;6.767;3.284;3.483;1.036;5.731;1.036;1.991;453;3.285;2;1.036;2.529;2.736;449;17;5.045;2.428;2.617;583;4.462
Vukovarsko-srijemska;Vukovar-Srijem;Ivankovo;8.006;3.943;4.063;1.656;6.350;1.656;2.167;655;3.523;5;1.656;2.795;3.213;334;8;6.543;3.221;3.322;1.081;5.462
Vukovarsko-srijemska;Vukovar-Srijem;Jarmina;2.458;1.207;1.251;482;1.976;482;673;142;1.161;-;482;911;983;81;1;2.016;978;1.038;294;1.722
Vukovarsko-srijemska;Vukovar-Srijem;Lovas;1.214;576;638;165;1.049;165;378;50;621;-;165;506;486;57;-;980;476;504;152;828
Vukovarsko-srijemska;Vukovar-Srijem;Markušica;2.555;1.205;1.350;329;2.226;329;486;280;1.460;-;329;1.066;1.013;146;1;1.773;860;913;199;1.574
Vukovarsko-srijemska;Vukovar-Srijem;Negoslavci;1.463;673;790;172;1.291;172;378;99;814;-;172;600;606;85;-;983;465;518;119;864
Vukovarsko-srijemska;Vukovar-Srijem;Nijemci;4.705;2.358;2.347;814;3.891;814;1.083;297;2.511;-;814;2.279;1.466;138;8;3.526;1.749;1.777;490;3.036
Vukovarsko-srijemska;Vukovar-Srijem;Nuštar;5.793;2.850;2.943;1.085;4.708;1.085;1.522;517;2.664;5;1.085;1.800;2.529;372;7;4.861;2.395;2.466;666;4.195
Vukovarsko-srijemska;Vukovar-Srijem;Otok;6.343;3.119;3.224;1.188;5.155;1.188;1.562;557;3.036;-;1.188;2.494;2.418;240;3;4.899;2.448;2.451;706;4.193
Vukovarsko-srijemska;Vukovar-Srijem;Privlaka;2.954;1.473;1.481;551;2.403;551;779;267;1.357;-;551;1.156;1.125;120;2;2.192;1.095;1.097;302;1.890
Vukovarsko-srijemska;Vukovar-Srijem;Stari Jankovci;4.405;2.156;2.249;734;3.671;734;1.054;387;2.229;1;734;1.824;1.639;204;4;3.271;1.603;1.668;455;2.816
Vukovarsko-srijemska;Vukovar-Srijem;Stari Mikanovci;2.956;1.467;1.489;567;2.389;567;785;225;1.379;-;567;1.109;1.148;132;-;2.419;1.170;1.249;344;2.075
Vukovarsko-srijemska;Vukovar-Srijem;Štitar;2.129;1.100;1.029;400;1.729;400;546;232;951;-;400;946;710;73;-;1.552;803;749;224;1.328
Vukovarsko-srijemska;Vukovar-Srijem;Tompojevci;1.565;736;829;191;1.374;191;379;132;862;1;191;759;538;77;-;1.116;538;578;113;1.003
Vukovarsko-srijemska;Vukovar-Srijem;Tordinci;2.032;991;1.041;392;1.640;392;570;123;947;-;392;828;728;81;3;1.657;837;820;236;1.421
Vukovarsko-srijemska;Vukovar-Srijem;Tovarnik;2.775;1.376;1.399;472;2.303;472;835;202;1.266;-;472;1.055;1.089;158;1;2.067;1.042;1.025;295;1.772
Vukovarsko-srijemska;Vukovar-Srijem;Trpinja;5.572;2.712;2.860;714;4.858;714;1.413;436;3.009;-;714;2.479;2.085;293;1;4.167;2.013;2.154;496;3.671
Vukovarsko-srijemska;Vukovar-Srijem;Vinkovci;35.312;16.871;18.441;6.324;28.988;6.324;11.263;3.017;14.704;4;6.324;8.029;16.368;4.564;27;30.842;14.677;16.165;4.798;26.044
Vukovarsko-srijemska;Vukovar-Srijem;Vođinci;1.966;967;999;424;1.542;424;532;162;848;-;424;692;760;90;-;1.634;808;826;301;1.333
Vukovarsko-srijemska;Vukovar-Srijem;Vrbanja;3.940;1.922;2.018;690;3.250;690;994;327;1.929;-;690;1.935;1.201;114;-;2.870;1.427;1.443;355;2.515
Vukovarsko-srijemska;Vukovar-Srijem;Vukovar;27.683;12.741;14.942;3.872;23.811;3.872;7.424;2.615;13.765;7;3.872;7.055;13.307;3.443;6;23.175;10.803;12.372;3.046;20.129
Vukovarsko-srijemska;Vukovar-Srijem;Županja;12.090;5.899;6.191;2.049;10.041;2.049;3.494;1.301;5.221;25;2.049;3.353;5.251;1.365;72;9.153;4.453;4.700;1.184;7.969
Splitsko-dalmatinska;Split-Dalmatia;Baška Voda;2.775;1.352;1.423;460;2.315;460;826;114;1.375;-;460;517;1.445;353;-;2.590;1.257;1.333;326;2.264
Splitsko-dalmatinska;Split-Dalmatia;Bol;1.630;787;843;193;1.437;193;643;86;708;-;193;341;862;234;-;1.678;820;858;265;1.413
Splitsko-dalmatinska;Split-Dalmatia;Brela;1.703;813;890;246;1.457;246;621;88;748;-;246;352;869;236;-;1.626;781;845;206;1.420
Splitsko-dalmatinska;Split-Dalmatia;Cista Provo;2.335;1.154;1.181;344;1.991;344;490;158;1.343;-;344;1.077;816;98;-;1.799;908;891;201;1.598
Splitsko-dalmatinska;Split-Dalmatia;Dicmo;2.802;1.433;1.369;571;2.231;571;764;204;1.263;-;571;897;1.228;106;-;2.805;1.408;1.397;451;2.354
Splitsko-dalmatinska;Split-Dalmatia;Dugi Rat;7.092;3.494;3.598;1.280;5.812;1.280;2.310;553;2.949;-;1.280;1.555;3.416;837;4;6.876;3.370;3.506;1.070;5.806
Splitsko-dalmatinska;Split-Dalmatia;Dugopolje;3.469;1.735;1.734;660;2.809;660;1.167;258;1.384;-;660;967;1.645;197;-;3.742;1.859;1.883;694;3.048
Splitsko-dalmatinska;Split-Dalmatia;Gradac;3.261;1.543;1.718;471;2.790;471;830;226;1.733;1;471;626;1.666;498;-;2.401;1.153;1.248;247;2.154
Splitsko-dalmatinska;Split-Dalmatia;Hrvace;3.617;1.828;1.789;612;3.005;612;836;267;1.902;-;612;1.255;1.595;155;-;3.144;1.624;1.520;394;2.750
Splitsko-dalmatinska;Split-Dalmatia;Hvar;4.251;2.018;2.233;622;3.629;622;1.675;196;1.758;-;622;795;2.210;624;-;3.979;1.882;2.097;556;3.423
Splitsko-dalmatinska;Split-Dalmatia;Imotski;10.764;5.230;5.534;2.493;8.271;2.493;2.520;1.104;4.646;1;2.493;2.276;4.739;1.254;2;9.153;4.508;4.645;1.608;7.545
Splitsko-dalmatinska;Split-Dalmatia;Jelsa;3.582;1.818;1.764;447;3.135;447;1.205;245;1.685;-;447;985;1.637;513;-;3.501;1.778;1.723;476;3.025
Splitsko-dalmatinska;Split-Dalmatia;Kaštela;38.667;19.073;19.594;6.999;31.668;6.999;13.325;3.431;14.903;9;6.999;8.296;18.816;4.444;112;37.794;18.443;19.351;6.123;31.671
Splitsko-dalmatinska;Split-Dalmatia;Klis;4.801;2.407;2.394;828;3.973;828;1.622;340;2.011;-;828;1.239;2.330;401;3;5.226;2.621;2.605;849;4.377
Splitsko-dalmatinska;Split-Dalmatia;Komiža;1.526;757;769;181;1.345;181;506;99;740;-;181;499;691;155;-;1.394;731;663;135;1.259
Splitsko-dalmatinska;Split-Dalmatia;Lećevica;583;298;285;59;524;59;123;33;368;-;59;306;202;16;-;495;263;232;51;444
Splitsko-dalmatinska;Split-Dalmatia;Lokvičići;807;406;401;163;644;163;137;56;451;-;163;356;270;18;-;667;336;331;80;587
Splitsko-dalmatinska;Split-Dalmatia;Lovreć;1.699;842;857;242;1.457;242;387;119;951;-;242;743;617;97;-;1.402;720;682;153;1.249
Splitsko-dalmatinska;Split-Dalmatia;Makarska;13.834;6.618;7.216;2.278;11.556;2.278;4.862;774;5.919;1;2.278;2.432;7.036;2.046;42;13.301;6.274;7.027;2.015;11.286
Splitsko-dalmatinska;Split-Dalmatia;Marina;4.595;2.347;2.248;611;3.984;611;1.224;344;2.416;-;611;1.670;2.019;291;4;4.273;2.169;2.104;569;3.704
Splitsko-dalmatinska;Split-Dalmatia;Milna;1.034;550;484;118;916;118;347;71;497;1;118;350;453;112;1;931;471;460;112;819
Splitsko-dalmatinska;Split-Dalmatia;Muć;3.882;1.949;1.933;591;3.291;591;1.126;179;1.985;1;591;1.661;1.497;94;39;3.465;1.804;1.661;503;2.962
Splitsko-dalmatinska;Split-Dalmatia;Nerežišća;862;431;431;97;765;97;362;45;358;-;97;356;353;56;-;878;444;434;134;744
Splitsko-dalmatinska;Split-Dalmatia;Okrug;3.349;1.647;1.702;501;2.848;501;876;272;1.698;2;501;683;1.703;455;7;2.995;1.472;1.523;334;2.661
Splitsko-dalmatinska;Split-Dalmatia;Omiš;14.936;7.447;7.489;2.533;12.403;2.533;4.560;1.372;6.470;1;2.533;3.908;6.875;1.617;3;14.139;7.030;7.109;2.217;11.922
Splitsko-dalmatinska;Split-Dalmatia;Otok;5.474;2.788;2.686;1.089;4.385;1.089;1.318;612;2.452;3;1.089;1.791;2.364;226;4;4.998;2.529;2.469;828;4.170
Splitsko-dalmatinska;Split-Dalmatia;Podbablje;4.680;2.272;2.408;921;3.759;921;1.031;506;2.222;-;921;1.443;1.916;399;1;4.035;1.985;2.050;679;3.356
Splitsko-dalmatinska;Split-Dalmatia;Podgora;2.518;1.233;1.285;307;2.211;307;689;181;1.341;-;307;521;1.315;375;-;2.233;1.101;1.132;258;1.975
Splitsko-dalmatinska;Split-Dalmatia;Podstrana;9.129;4.601;4.528;1.857;7.272;1.857;3.273;665;3.333;1;1.857;1.636;4.168;1.434;34;10.403;5.205;5.198;1.851;8.552
Splitsko-dalmatinska;Split-Dalmatia;Postira;1.559;791;768;224;1.335;224;608;75;652;-;224;487;674;173;1;1.538;787;751;210;1.328
Splitsko-dalmatinska;Split-Dalmatia;Prgomet;673;324;349;82;591;82;265;40;286;-;82;358;195;36;2;498;257;241;29;469
Splitsko-dalmatinska;Split-Dalmatia;Primorski Dolac;770;378;392;126;644;126;243;42;359;-;126;339;283;20;2;686;339;347;89;597
Splitsko-dalmatinska;Split-Dalmatia;Proložac;3.802;1.828;1.974;791;3.011;791;738;490;1.781;2;791;1.244;1.517;247;3;3.112;1.542;1.570;500;2.612
Splitsko-dalmatinska;Split-Dalmatia;Pučišća;2.171;1.117;1.054;345;1.826;345;670;80;1.076;-;345;717;955;154;-;1.926;980;946;250;1.676
Splitsko-dalmatinska;Split-Dalmatia;Runovići;2.416;1.222;1.194;422;1.994;422;506;233;1.255;-;422;844;939;211;-;1.968;986;982;281;1.687
Splitsko-dalmatinska;Split-Dalmatia;Seget;4.854;2.393;2.461;744;4.110;744;1.509;354;2.246;1;744;1.348;2.250;506;6;4.511;2.211;2.300;619;3.892
Splitsko-dalmatinska;Split-Dalmatia;Selca;1.804;924;880;240;1.564;240;519;80;965;-;240;540;862;162;-;1.613;825;788;178;1.435
Splitsko-dalmatinska;Split-Dalmatia;Sinj;24.826;12.313;12.513;4.456;20.370;4.456;7.142;2.503;10.723;2;4.456;5.730;12.128;2.506;6;23.452;11.608;11.844;3.560;19.892
Splitsko-dalmatinska;Split-Dalmatia;Solin;23.926;11.752;12.174;4.715;19.211;4.715;9.042;1.789;8.378;2;4.715;4.523;11.779;2.902;7;24.862;12.187;12.675;4.561;20.301
Splitsko-dalmatinska;Split-Dalmatia;Split;178.102;84.477;93.625;26.665;151.437;26.665;63.561;13.662;74.180;34;26.665;27.947;84.144;39.149;197;160.577;75.583;84.994;22.690;137.887
Splitsko-dalmatinska;Split-Dalmatia;Stari Grad;2.781;1.391;1.390;343;2.438;343;1.101;176;1.161;-;343;716;1.395;327;-;2.772;1.361;1.411;365;2.407
Splitsko-dalmatinska;Split-Dalmatia;Sućuraj;463;227;236;35;428;35;112;43;273;-;35;179;195;54;-;426;218;208;33;393
Splitsko-dalmatinska;Split-Dalmatia;Supetar;4.074;1.954;2.120;506;3.568;506;1.488;285;1.795;-;506;877;2.101;588;2;4.325;2.076;2.249;583;3.742
Splitsko-dalmatinska;Split-Dalmatia;Sutivan;822;407;415;92;730;92;307;35;388;-;92;166;425;139;-;936;471;465;117;819
Splitsko-dalmatinska;Split-Dalmatia;Šestanovac;1.958;982;976;257;1.701;257;452;207;1.042;-;257;857;744;100;-;1.669;853;816;189;1.480
Splitsko-dalmatinska;Split-Dalmatia;Šolta;1.700;879;821;127;1.573;127;405;131;1.037;-;127;492;815;266;-;1.975;1.022;953;148;1.827
Splitsko-dalmatinska;Split-Dalmatia;Trilj;9.109;4.605;4.504;1.794;7.315;1.794;2.173;566;4.561;15;1.794;3.116;3.758;405;36;8.182;4.127;4.055;1.198;6.984
Splitsko-dalmatinska;Split-Dalmatia;Trogir;13.192;6.365;6.827;2.107;11.085;2.107;4.379;1.175;5.525;6;2.107;2.787;6.506;1.736;56;12.393;5.917;6.476;1.794;10.599
Splitsko-dalmatinska;Split-Dalmatia;Tučepi;1.931;970;961;318;1.613;318;535;230;848;-;318;430;935;248;-;1.819;869;950;227;1.592
Splitsko-dalmatinska;Split-Dalmatia;Vis;1.934;943;991;232;1.702;232;591;88;1.023;-;232;487;944;270;1;1.918;924;994;197;1.721
Splitsko-dalmatinska;Split-Dalmatia;Vrgorac;6.572;3.327;3.245;1.163;5.409;1.163;1.927;490;2.992;-;1.163;1.937;2.945;527;-;5.698;2.880;2.818;876;4.822
Splitsko-dalmatinska;Split-Dalmatia;Vrlika;2.177;1.109;1.068;268;1.909;268;643;89;1.177;-;268;1.038;775;95;1;1.728;889;839;122;1.606
Splitsko-dalmatinska;Split-Dalmatia;Zadvarje;289;144;145;22;267;22;88;13;166;-;22;97;137;33;-;289;136;153;41;248
Splitsko-dalmatinska;Split-Dalmatia;Zagvozd;1.188;582;606;150;1.038;150;265;86;687;-;150;562;425;51;-;957;485;472;134;823
Splitsko-dalmatinska;Split-Dalmatia;Zmijavci;2.048;1.020;1.028;434;1.614;434;488;158;968;-;434;545;864;204;1;1.654;820;834;243;1.411
Istarska;Istria;Bale - Valle;1.127;553;574;148;979;148;470;57;452;-;148;391;479;109;-;1.170;590;580;178;992
Istarska;Istria;Barban;2.721;1.305;1.416;331;2.390;331;1.106;107;1.177;-;331;843;1.271;276;-;2.491;1.190;1.301;329;2.162
Istarska;Istria;Brtonigla - Verteneglio;1.626;815;811;175;1.451;175;691;72;688;-;175;597;742;112;-;1.523;766;757;179;1.344
Istarska;Istria;Buje - Buie;5.182;2.530;2.652;641;4.541;641;2.193;350;1.994;4;641;1.416;2.486;636;3;4.441;2.159;2.282;547;3.894
Istarska;Istria;Buzet;6.133;3.049;3.084;844;5.289;844;2.811;256;2.220;2;844;1.802;2.702;783;2;5.999;2.968;3.031;834;5.165
Istarska;Istria;Cerovlje;1.677;839;838;254;1.423;254;636;52;733;2;254;637;680;105;1;1.453;723;730;176;1.277
Istarska;Istria;Fažana - Fasana;3.635;1.765;1.870;498;3.137;498;1.435;180;1.522;-;498;643;1.892;601;1;3.463;1.690;1.773;455;3.008
