Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Krapinsko-zagorska;Krapina-Zagorje;Kumrovec;1.588;796;792;204;1.384;204;626;114;644;-;204;552;734;98;-;1.412;712;700;174;1.238
Krapinsko-zagorska;Krapina-Zagorje;Lobor;3.188;1.517;1.671;464;2.724;464;949;176;1.599;-;464;1.283;1.309;132;-;2.703;1.300;1.403;318;2.385
Krapinsko-zagorska;Krapina-Zagorje;Mače;2.534;1.247;1.287;398;2.136;398;828;143;1.165;-;398;955;1.078;103;-;2.258;1.130;1.128;314;1.944
Krapinsko-zagorska;Krapina-Zagorje;Marija Bistrica;5.976;2.851;3.125;824;5.152;824;2.135;328;2.689;-;824;2.039;2.719;394;-;5.553;2.648;2.905;762;4.791
Krapinsko-zagorska;Krapina-Zagorje;Mihovljan;1.938;993;945;312;1.626;312;579;83;964;-;312;820;732;74;-;1.677;858;819;230;1.447
Krapinsko-zagorska;Krapina-Zagorje;Novi Golubovec;996;511;485;151;845;151;307;48;490;-;151;324;476;45;-;824;414;410;109;715
Krapinsko-zagorska;Krapina-Zagorje;Oroslavje;6.138;2.924;3.214;945;5.193;945;2.174;373;2.646;-;945;1.717;2.786;653;37;5.834;2.816;3.018;789;5.045
Krapinsko-zagorska;Krapina-Zagorje;Petrovsko;2.656;1.299;1.357;356;2.300;356;882;142;1.275;1;356;1.147;1.027;125;1;2.270;1.119;1.151;335;1.935
Krapinsko-zagorska;Krapina-Zagorje;Pregrada;6.594;3.255;3.339;1.057;5.537;1.057;2.411;321;2.804;1;1.057;2.768;2.405;362;2;5.927;2.895;3.032;867;5.060
Krapinsko-zagorska;Krapina-Zagorje;Radoboj;3.387;1.645;1.742;530;2.857;530;1.220;149;1.485;3;530;1.125;1.514;218;-;2.981;1.445;1.536;412;2.569
Krapinsko-zagorska;Krapina-Zagorje;Stubičke Toplice;2.805;1.329;1.476;395;2.410;395;972;170;1.268;-;395;708;1.314;388;-;2.740;1.288;1.452;352;2.388
Krapinsko-zagorska;Krapina-Zagorje;Sveti Križ Začretje;6.165;2.969;3.196;875;5.290;875;2.243;320;2.727;-;875;2.282;2.606;399;3;5.659;2.768;2.891;797;4.862
Krapinsko-zagorska;Krapina-Zagorje;Tuhelj;2.104;1.033;1.071;295;1.809;295;871;104;834;-;295;844;856;107;2;2.043;999;1.044;291;1.752
Krapinsko-zagorska;Krapina-Zagorje;Veliko Trgovišće;4.945;2.389;2.556;739;4.206;739;1.744;210;2.251;1;739;1.823;2.007;375;1;4.448;2.143;2.305;589;3.859
Krapinsko-zagorska;Krapina-Zagorje;Zabok;8.994;4.257;4.737;1.293;7.701;1.293;3.378;473;3.849;1;1.293;2.381;4.149;1.171;-;8.656;4.114;4.542;1.211;7.445
Krapinsko-zagorska;Krapina-Zagorje;Zagorska Sela;996;501;495;126;870;126;449;35;386;-;126;420;402;48;-;899;443;456;104;795
Krapinsko-zagorska;Krapina-Zagorje;Zlatar;6.096;3.002;3.094;951;5.145;951;2.169;361;2.615;-;951;1.985;2.705;455;-;5.574;2.712;2.862;836;4.738
Krapinsko-zagorska;Krapina-Zagorje;Zlatar-Bistrica;2.600;1.236;1.364;363;2.237;363;971;140;1.126;-;363;746;1.226;265;-;2.308;1.126;1.182;316;1.992
Sisačko-moslavačka;Sisak-Moslavina;Donji Kukuruzari;1.634;811;823;265;1.369;265;272;175;922;-;265;806;507;56;-;1.080;562;518;113;967
Sisačko-moslavačka;Sisak-Moslavina;Dvor;5.570;2.643;2.927;569;5.001;569;1.024;430;3.547;-;569;2.302;2.329;369;1;2.996;1.446;1.550;256;2.740
